Horizon started successfully.
[2020-12-15 12:52:55][174] Processing: Maatwebsite\Excel\Jobs\QueueImport
[2020-12-15 12:52:55][174] Processed:  Maatwebsite\Excel\Jobs\QueueImport
[2020-12-15 12:52:55][175] Processing: Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-15 12:53:04][175] Processed:  Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-15 12:53:04][176] Processing: Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-15 12:53:14][176] Processed:  Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-15 12:53:14][177] Processing: Maatwebsite\Excel\Jobs\AfterImportJob
[2020-12-15 12:53:14][177] Processed:  Maatwebsite\Excel\Jobs\AfterImportJob
[2020-12-15 12:53:14][178] Processing: App\Jobs\CompletedImport
[2020-12-15 12:53:14][178] Processed:  App\Jobs\CompletedImport
[2020-12-15 12:53:14][179] Processing: App\Events\NotificationImport
[2020-12-15 12:53:16][180] Processing: App\Jobs\NotificationJob
[2020-12-15 12:53:16][180] Processed:  App\Jobs\NotificationJob
[2020-12-15 12:53:17][179] Processed:  App\Events\NotificationImport
[2020-12-15 12:53:22][181] Processing: App\Notifications\FinishJob
[2020-12-15 12:53:22][181] Processed:  App\Notifications\FinishJob
[2020-12-21 08:28:34][182] Processing: Maatwebsite\Excel\Jobs\QueueImport
[2020-12-21 08:28:34][182] Processed:  Maatwebsite\Excel\Jobs\QueueImport
[2020-12-21 08:28:34][183] Processing: Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-21 08:28:47][183] Processed:  Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-21 08:28:47][184] Processing: Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-21 08:28:59][184] Processed:  Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-21 08:28:59][185] Processing: Maatwebsite\Excel\Jobs\AfterImportJob
[2020-12-21 08:28:59][185] Processed:  Maatwebsite\Excel\Jobs\AfterImportJob
[2020-12-21 08:28:59][186] Processing: App\Jobs\CompletedImport
[2020-12-21 08:28:59][186] Processed:  App\Jobs\CompletedImport
[2020-12-21 08:28:59][187] Processing: App\Events\NotificationImport
[2020-12-21 08:29:00][187] Processed:  App\Events\NotificationImport
[2020-12-21 08:29:00][188] Processing: App\Jobs\NotificationJob
[2020-12-21 08:29:00][188] Processed:  App\Jobs\NotificationJob
[2020-12-21 08:29:06][189] Processing: App\Notifications\FinishJob
[2020-12-21 08:29:06][189] Processed:  App\Notifications\FinishJob
[2020-12-21 10:32:19][190] Processing: Maatwebsite\Excel\Jobs\QueueImport
[2020-12-21 10:32:19][190] Processed:  Maatwebsite\Excel\Jobs\QueueImport
[2020-12-21 10:32:19][191] Processing: Maatwebsite\Excel\Jobs\ReadChunk
