fila@nombre@cuil@fecha_nac@sexo@puesto_laboral@cargo@fecha_ingreso@cod_categoria @categoria @cod_clase@clase@cod_estado@estado@detalle
1@Alena Hackett editado@21697528299@2020-09-29@female@1@Cargo 1@1927-01-01@1@Categoria 1@1@clase 1@1@activo@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3000
2@Alena Hackett editado@20346273951@2020-09-29@female@2@Cargo 2@1927-01-02@2@Categoria 2@1@clase 1@1@activo@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3001
3@Alena Hackett editado@23272811309@2020-09-29@female@3@Cargo 3@1927-01-03@3@Categoria 3@1@clase 1@1@activo@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3002
4@Alena Hackett editado@21214771064@2020-09-29@male@4@Cargo 4@1927-01-04@4@Categoria 4@1@clase 1@1@activo@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3003
5@Alena Hackett editado@23794792758@2020-09-29@female@5@Cargo 5@1927-01-05@5@Categoria 5@1@clase 1@1@activo@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3004
6@Alena Hackett editado@26317852529@2020-09-29@male@6@Cargo 6@1927-01-06@6@Categoria 6@1@clase 1@1@activo@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3005
7@Alena Hackett editado@21081577840@2020-09-29@female@7@Cargo 7@1927-01-07@7@Categoria 7@1@clase 1@1@activo@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3006
8@Alena Hackett editado@23783401329@2020-09-29@male@8@Cargo 8@1927-01-08@8@Categoria 8@1@clase 1@1@activo@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3007
9@Alena Hackett editado@25824487925@2020-09-29@female@9@Cargo 9@1927-01-09@9@Categoria 9@1@clase 1@1@activo@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3008
10@Alena Hackett editado@21569627228@2020-09-29@male@10@Cargo 10@1927-01-10@10@Categoria 10@1@clase 1@1@activo@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3009
