nombre@cuil@fecha_nac@sexo@puesto_laboral@cargo@fecha_ingreso@cod_categoria @categoria @cod_clase@clase@cod_estado@estado@cod_jurisdiccion@jurisdiccion@cod_organismo@organismo@detalle
Karina Arguello@21697521111@1960-09-01@female@10000@Cargo 1@1999-01-01@1@Categoria 1@1@clase 1@1@activo@22@Municipalidad de Mercedes@32@Mercedes@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3000
Carlos Caceres@24697521112@1960-09-02@male@10001@Cargo 2@1999-01-02@2@Categoria 2@1@clase 1@1@activo@22@Municipalidad de Mercedes@32@Mercedes@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3001
Viviana Gonzales@28697521113@1960-09-03@female@10002@Cargo 3@1999-01-03@3@Categoria 3@1@clase 1@1@activo@22@Municipalidad de Mercedes@32@Mercedes@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3002
Pedro Dominguez@21697521114@1960-09-04@male@10003@Cargo 4@1999-01-04@4@Categoria 4@1@clase 1@1@activo@22@Municipalidad de Mercedes@32@Mercedes@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3003
Marta Ramirez@25697521115@1960-09-05@female@10004@Cargo 5@1999-01-05@5@Categoria 5@1@clase 1@1@activo@22@Municipalidad de Mercedes@32@Mercedes@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3004
Mercedez Carrera@20697521116@1960-09-06@female@10005@Cargo 6@1999-01-06@6@Categoria 6@1@clase 1@1@activo@22@Municipalidad de Mercedes@32@Mercedes@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3005
Eloy Emanuel Lopez@20697521117@1960-09-07@male@10006@Cargo 7@1999-01-07@7@Categoria 7@1@clase 1@1@activo@22@Municipalidad de Mercedes@32@Mercedes@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3006
Miguel Cardozo@26697521118@1960-09-08@male@10007@Cargo 8@1999-01-08@8@Categoria 8@1@clase 1@1@activo@22@Municipalidad de Mercedes@32@Mercedes@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3007
Silvina Enrique@21697521119@1960-09-09@female@10008@Cargo 9@1999-01-09@9@Categoria 9@1@clase 1@1@activo@22@Municipalidad de Mercedes@32@Mercedes@1|sueldo basico|1|1|30 dias|50000|2|antiguedad|2|1|5 anios|15000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3008
Alena Hackett@21697528299@1960-09-10@female@10009@Cargo 10@1999-01-10@10@Categoria 10@1@Clase 1@1@activo@22@Municipalidad de Mercedes@32@Mercedes@1|sueldo basico|1|1|30 dias|32000|2|antiguedad|2|1|5 anios|10000|3|presentismo|3|2|null|1500|4|por titulo|4|2|30 porciento|1200|5|esposa|8|5|null|3500|6|jubilacion|9|6|18.5 porciento|9250|7|obra social|11|6|3 porciento|1500|8|resolucion n52009|5|4|null|3008|10|resolucion n52010|4|4|null|3008
